ParentPDG,PDG,Vx,Vy,Vz,Px,Py,Pz
211,14,1.97501388613,-0.757497163408,475.443066285,2.35011926284,0.357842299668,-2.9906818701
211,14,-1.48951050543,-6.27919641779,481.160131436,-4.11659845929,-10.5100842007,-67.4099640836
211,14,4.26745937468,4.49291688459,374.276137763,-1.93929109297,-1.96247684781,-5.00657631437
211,14,-0.140300115275,0.544108131203,18.2197985143,3.88890669695,-16.3141630652,-489.257767608
211,14,0.8626482354,-0.927810546707,473.592550106,-12.763727607,26.4147527404,-492.369410859
211,14,-5.20305110514,-5.01069070552,454.00986905,15.650547769,15.4527021187,-226.42538618
211,14,-0.559929636719,-0.0344436861109,474.298602356,-17.6541744556,9.79240885212,-268.015784986
211,14,2.1705533933,-2.9737915307,461.026073343,-1.6833289651,1.89182279229,-1529.19585123
211,14,-0.964068943351,0.56831411992,21.4503606668,1.28965916162,-0.883280568318,1.24167438606
211,14,0.0715026771829,1.46482867427,474.778712978,13.2391152127,22.724428615,-849.794820023
211,14,1.8408674027,0.814645063121,466.063120708,-29.4655169402,-12.3550893192,-1455.37620938
321,14,0.363520960691,-0.528872624448,9.809336292,-39.7321283143,57.1748541979,-1046.92115157
211,14,2.00329955487,2.16657915819,95.3002779687,-0.688800213724,-0.932709523076,0.921206783485
211,14,2.27928560504,0.180374127401,56.7941893938,-1.28262870604,-0.0972867207865,0.450581508266
211,14,0.170999620982,-0.966360784695,73.8932558012,-3.76912799697,24.1099271028,-1908.1284457
211,14,-0.965346920018,-5.1743479526,442.324831209,1.14972177327,8.80395031264,-57.7648807275
211,14,2.38505775436,0.795285438587,52.7586956041,-1.48987244396,-0.581856343313,0.898156300371
211,14,-0.260247255413,0.985797503542,106.098929928,0.132473716595,-0.397747110259,0.518392929126
211,14,21.1449901745,9.76372922952,652.543755245,-75.6117967008,-35.1837084968,-2265.13402032
211,14,10.1505408086,2.32215396447,393.476202219,-47.475449145,-10.4546220998,-2041.39395299
211,14,-6.53014574918,-11.617045225,471.640575535,-4.38327869272,-2.27798886893,-898.441349604
211,14,4.23654982827,-12.1259530956,482.566228829,3.46264973915,-16.793305604,-105.976172441
211,14,1.93081967958,-0.00633685717412,467.387128018,1.59060119178,-10.1276193452,-1618.528051
211,14,-6.13789865222,1.91757344922,318.617509797,1.82463265677,-0.646011703022,-1.48117195329
211,14,-6.89237977864,-10.6893228733,466.099403042,7.93176468137,18.4429790126,-1758.24551902
211,14,-0.684715793935,0.0207146369546,15.717281446,1.42955848254,-0.0274503205882,2.42780042949
211,14,3.85288900549,-3.88262831221,117.722369227,-1.27750947625,1.41791321919,-1.26618118975
211,14,-1.60708967861,0.341849375232,97.5124569532,0.525575950013,-0.191516484364,0.626021064792
211,14,0.013188195239,0.576615612904,33.0425347517,-2.41627066514,-9.22358933092,-351.174944391
211,14,3.63733685257,-0.806553229835,469.795339998,-35.6524935053,14.7082560753,-2292.53842825
